activity,trial_id,time,t_seconds,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
walking,walking_10,1783626049755863600,0.060863525390625,0.9409221292242408,-0.3071773589462042,0.9492202942311764,-0.2303189039230346,-0.0742928609251976,-0.1202913895249366
walking,walking_10,1783626049765824500,0.070824462890625,0.9018753363408148,-0.4682353513866663,0.7234978141784667,-0.2523333728313446,-0.113840103149414,-0.0904043093323707
walking,walking_10,1783626049775785700,0.08078564453125,0.6527487459555268,-0.6806932761967182,0.5798766942292451,-0.2656371891498565,-0.1658023744821548,-0.0828571766614914
walking,walking_10,1783626049785745700,0.09074560546875,0.3297365428872406,-0.9182447257310152,0.3685767072826624,-0.2559359669685364,-0.2137666046619415,-0.0877470225095748
walking,walking_10,1783626049795706600,0.10070654296875,0.1243335050247609,-1.0348369689792394,0.0837970581054687,-0.2242789566516876,-0.2443064153194427,-0.1047297343611717
walking,walking_10,1783626049805667600,0.11066748046875,-0.0142873224191367,-0.984351813367009,-0.1779547667056322,-0.1709234118461609,-0.259831041097641,-0.1327901184558868
walking,walking_10,1783626049815628800,0.12062890625,-0.1152865674771368,-0.8602087163478136,-0.3936369142591953,-0.0925609618425369,-0.2627008557319641,-0.175474464893341
walking,walking_10,1783626049825589800,0.13058984375,-0.1787177139021456,-0.6958920143723487,-0.5959826103776693,-0.0001859352923929,-0.2582051157951355,-0.2378787100315094
walking,walking_10,1783626049835549700,0.1405498046875,-0.1365989662274718,-0.5477677377849817,-0.8058230461657047,0.0981062799692154,-0.2547922730445862,-0.3081246316432953
walking,walking_10,1783626049845510700,0.1505107421875,-0.0333085414923727,-0.4989332719892263,-0.9114601801574228,0.1837669610977172,-0.2640751302242279,-0.3832968771457672
walking,walking_10,1783626049855471600,0.1604716796875,0.0084713296167552,-0.571793925538659,-0.9346265362113714,0.2511220276355743,-0.2568992376327514,-0.4463530778884887
walking,walking_10,1783626049865432800,0.170432861328125,0.0579544685795903,-0.5729138694792986,-0.9348439783543347,0.3009035289287567,-0.2218412011861801,-0.4990304112434387
walking,walking_10,1783626049875393500,0.1803935546875,0.0437023636043071,-0.6319353827685117,-0.895329714089632,0.3357115685939789,-0.1881578117609024,-0.5472336411476135
walking,walking_10,1783626049885353500,0.190353515625,-0.0516867864869535,-0.7594821507513523,-0.8449211308449506,0.3516789972782135,-0.1900544762611389,-0.5896322131156921
walking,walking_10,1783626049895314700,0.200314697265625,-0.1141859858240932,-0.7902759329438209,-0.6742699651509523,0.3556897044181824,-0.2111935913562774,-0.613557755947113
walking,walking_10,1783626049905275600,0.210275634765625,-0.0629676205664873,-0.6812731219112873,-0.4978127435266971,0.3531602323055267,-0.2177039086818695,-0.601970911026001
walking,walking_10,1783626049915236600,0.220236572265625,0.0581264641456305,-0.5630149912774562,-0.356712081965804,0.3407895863056183,-0.1904832124710083,-0.5575065016746521
walking,walking_10,1783626049925197600,0.230197509765625,0.1891219843428581,-0.4694581711798906,-0.3483212702393531,0.3193928897380829,-0.1403443813323974,-0.4934548437595367
walking,walking_10,1783626049935157500,0.240157470703125,0.194322256399691,-0.4305792822092771,-0.3729717273712158,0.2882483005523681,-0.107112668454647,-0.4326391518115997
walking,walking_10,1783626049945118700,0.25011865234375,0.0841413414984941,-0.5227753353476524,-0.3892179287731647,0.2552028596401214,-0.0968558192253112,-0.3905566334724426
walking,walking_10,1783626049955079700,0.26007958984375,-0.002495689273253,-0.6027952130019665,-0.5724439138799905,0.2343167513608932,-0.0900658220052719,-0.3630757331848144
walking,walking_10,1783626049965040600,0.27004052734375,0.0158565444972366,-0.6065460899680852,-0.8040221342235803,0.2179393172264099,-0.0999394282698631,-0.3577046990394592
walking,walking_10,1783626049975001600,0.280001708984375,-0.1547508551202714,-0.5471159958779811,-0.9177560654312372,0.2057273983955383,-0.1237712651491165,-0.3733795285224914
walking,walking_10,1783626049984962800,0.289962890625,-0.2998857406333088,-0.4379746531575918,-0.9819418296158312,0.203931525349617,-0.1467115432024002,-0.4046535491943359
walking,walking_10,1783626049994922800,0.2999228515625,-0.4026538950599729,-0.2958721210777759,-1.0021399835139513,0.2052684277296066,-0.1742779314517974,-0.4318337738513946
walking,walking_10,1783626050004883700,0.3098837890625,-0.4296444855771958,-0.1039595561683177,-0.936385947099328,0.2048694789409637,-0.2231804579496383,-0.453094869852066
walking,walking_10,1783626050014844700,0.3198447265625,-0.4648978044617921,0.1769347760081291,-0.7014630925029516,0.198478952050209,-0.2787404060363769,-0.4567870795726776
walking,walking_10,1783626050024805600,0.3298056640625,-0.5177100147821009,0.4879606270760298,-0.486727285888791,0.1874115169048309,-0.3080126941204071,-0.4487664401531219
walking,walking_10,1783626050034766600,0.3397666015625,-0.5700944281443954,0.7788070289462804,-0.2853460508882999,0.1692503541707992,-0.308982640504837,-0.4209734201431274
walking,walking_10,1783626050044726500,0.3497265625,-0.6059711396243422,1.096951772108674,-0.0441214657992124,0.1427363753318786,-0.2905975580215454,-0.3968342840671539
walking,walking_10,1783626050054687700,0.359687744140625,-0.771705964769423,1.3222791153639557,0.1609112774461507,0.1107808351516723,-0.2738233804702759,-0.3826678693294525
walking,walking_10,1783626050064648700,0.369648681640625,-0.9421407112337647,1.519936945927143,0.2739420288205146,0.0735061168670654,-0.2549328207969665,-0.3665328025817871
walking,walking_10,1783626050074609700,0.379609619140625,-0.974119903818518,1.7635405351072548,0.3738099317610263,0.0408453755080699,-0.2277757823467254,-0.3385264873504638
walking,walking_10,1783626050084570600,0.389570556640625,-0.9764474699832498,2.014258924728632,0.457760134601593,0.0097037125378847,-0.193367600440979,-0.2914822995662689
walking,walking_10,1783626050094530600,0.399530517578125,-0.9958286814752966,2.1513193709880114,0.5401116700738668,-0.0226595532149076,-0.1592548936605453,-0.2297299802303314
walking,walking_10,1783626050104491800,0.40949169921875,-0.9726730660110712,2.1268723274737598,0.5439011254847049,-0.0650040507316589,-0.1329870074987411,-0.1440528929233551
walking,walking_10,1783626050114452500,0.419452392578125,-0.923819968580082,1.9581652815848587,0.5344681112289429,-0.1228729486465454,-0.117291659116745,-0.053823672235012
walking,walking_10,1783626050124413700,0.42941357421875,-0.9353548504859208,1.718427720183134,0.4736451014757156,-0.1921279281377792,-0.0970742255449295,0.0370780266821384
walking,walking_10,1783626050134374700,0.439374755859375,-1.01766598088257,1.4255518583118916,0.3271189077347516,-0.2586632966995239,-0.0623564645648002,0.1171635389328002
walking,walking_10,1783626050144334600,0.44933447265625,-1.1210115698710084,1.123222523918748,0.0469447065263986,-0.3115359246730804,-0.0033102761954069,0.1857748329639434
walking,walking_10,1783626050154295800,0.4592958984375,-1.2408122537717223,0.8826619556963443,-0.2264203991889953,-0.3435146510601043,0.0538816414773464,0.2423134893178939
walking,walking_10,1783626050164256500,0.469256591796875,-1.2228858441978692,0.6731412533819675,-0.381684610658884,-0.3576431274414062,0.1016486808657646,0.2943239510059356
walking,walking_10,1783626050174217700,0.4792177734375,-1.1074544614225623,0.4195850099861621,-0.5514385352522134,-0.3474749028682709,0.1427047699689865,0.3302233517169952
walking,walking_10,1783626050184178700,0.4891787109375,-1.1070760565642266,0.1839274113744497,-0.7259761869907378,-0.3182041645050049,0.1630144566297531,0.3366908431053161
walking,walking_10,1783626050194139000,0.499138916015625,-1.1752573931910095,-0.0366653045743703,-0.8317840013742447,-0.2680560350418091,0.1760402470827102,0.3164710700511932
walking,walking_10,1783626050204099600,0.509099609375,-1.225051278603449,-0.1566460212171077,-0.9444529336988924,-0.1942595541477203,0.2034440636634826,0.2825964689254761
walking,walking_10,1783626050214060500,0.519060546875,-1.2691770552515982,-0.2305278345078229,-0.9649474401950836,-0.1093563735485076,0.2236942052841186,0.2327077388763427
walking,walking_10,1783626050224021800,0.529021728515625,-1.237892566932738,-0.2079132671177387,-0.757028327858448,-0.0277468413114547,0.2351534366607666,0.1902710497379303
walking,walking_10,1783626050233982500,0.538982421875,-1.0478835706222802,-0.1759901886343955,-0.4884516254633664,0.0375940836966037,0.2424025535583496,0.1475648730993271
walking,walking_10,1783626050243943700,0.548943603515625,-0.8059729760304093,-0.1276058046936988,-0.0845674579560756,0.0847839340567588,0.2372347861528396,0.1182138845324516
walking,walking_10,1783626050253903600,0.558903564453125,-0.5137943026430905,-0.0962438672244548,0.3456225326746702,0.11060781031847,0.2116817533969879,0.0879169628024101
walking,walking_10,1783626050263864800,0.56886474609375,-0.3591032148860394,-0.0919984847396612,0.7696902410328388,0.1182663515210151,0.177184373140335,0.0507432669401168
walking,walking_10,1783626050273825500,0.578825439453125,-0.2201061745408922,-0.0723585492461919,1.0493056393146514,0.1151579096913337,0.134787917137146,0.0083713103085756
walking,walking_10,1783626050283786500,0.588786376953125,-0.1075534159418195,-0.1163864915430545,1.1987877602517605,0.0988983660936355,0.0714329630136489,-0.0332288742065429
walking,walking_10,1783626050293747700,0.598747802734375,0.0881630712952464,-0.1669230850815773,1.2765432001054289,0.0748814493417739,0.0018922355957329,-0.0584247708320617
walking,walking_10,1783626050303707600,0.608707763671875,0.196919433286041,-0.1321539695173502,1.332958914810419,0.0478833988308906,-0.0499520972371101,-0.067602589726448
walking,walking_10,1783626050313668600,0.618668701171875,0.2047428934533149,-0.0863747996389865,1.3113935642123222,0.0315057560801506,-0.0404760353267192,-0.0709919929504394
walking,walking_10,1783626050323629600,0.628629638671875,0.1292008918654173,-0.1341951199561357,1.232269174093008,0.0145292729139328,-0.0097531825304031,-0.066431850194931
walking,walking_10,1783626050333590800,0.6385908203125,0.0663431614141911,-0.1382277364730834,1.2132196057081222,0.0050982208922505,0.0357786193490028,-0.0635697469115257
walking,walking_10,1783626050343551700,0.6485517578125,0.0340720732107758,-0.1700906092017889,1.1329811168670654,0.0046894405968487,0.0692750960588455,-0.0646358132362365
walking,walking_10,1783626050353511700,0.65851171875,0.0758937376350164,-0.2020703863084316,1.104647002786398,0.0133223440498113,0.0798297375440597,-0.0532097816467285
walking,walking_10,1783626050363472600,0.66847265625,0.1297672205112874,-0.1551250952601432,1.1397861207067963,0.0378313213586807,0.1096631288528442,-0.0426245555281639
walking,walking_10,1783626050373433600,0.67843359375,0.1579623645126819,-0.1138151797503232,1.2525684502780436,0.0604460872709751,0.1343317329883575,-0.0357450768351554
walking,walking_10,1783626050383394800,0.688394775390625,0.319392551266402,-0.193180977410078,1.5333347721606492,0.0653107240796089,0.0597483925521373,-0.0400455370545387
walking,walking_10,1783626050393355500,0.69835546875,0.4932886902309953,-0.2824982602417469,1.1122697527498009,0.0702298507094383,-0.0136240907013416,-0.0377948991954326
walking,walking_10,1783626050403315500,0.7083154296875,0.4912916711948811,-0.2782347575783729,1.1064151815026997,0.0735618472099304,-0.0147291664034128,-0.039723016321659
walking,walking_10,1783626050413276700,0.718276611328125,0.2965305849865078,-0.2282341706126928,0.9530325459957122,0.0687753483653068,0.024637147784233,-0.0635673627257347
walking,walking_10,1783626050423237600,0.728237548828125,0.1459426947645843,-0.2005804400116205,0.8486386900633573,0.0536723844707012,0.0676371306180954,-0.0925276204943656
walking,walking_10,1783626050433198600,0.738198486328125,0.1401559280566871,-0.2230114675283432,0.65620239354074,0.038988247513771,0.1044433489441871,-0.1151559725403785
walking,walking_10,1783626050443159600,0.74815966796875,0.1524900705814361,-0.3195417504787445,0.5259241547673941,0.0308862160891294,0.133674755692482,-0.1339051723480224
walking,walking_10,1783626050453120800,0.758120849609375,0.0759329736668616,-0.4573386943191289,0.674524232172966,0.0232410803437232,0.1521016955375671,-0.1517020165920257
walking,walking_10,1783626050463080700,0.768080810546875,0.0078824968781322,-0.4707312598556279,0.8909533987015485,0.006641462445259,0.1375936865806579,-0.1696586608886718
walking,walking_10,1783626050473041400,0.77804150390625,0.070512044596672,-0.339600788167119,1.0845499711751938,-0.019576558843255,0.1030367761850357,-0.1630601286888122
walking,walking_10,1783626050483002600,0.788002685546875,0.1157905714765191,-0.2446720951944589,1.1419055970788,-0.0515543334186077,0.0924374908208847,-0.1355558186769485
walking,walking_10,1783626050492963600,0.797963623046875,-0.0809095930356532,-0.4201040654242038,1.0493974092513323,-0.0831687152385711,0.1155673041939735,-0.1012084931135177
walking,walking_10,1783626050502924800,0.8079248046875,-0.0947556014280766,-0.42490415918231,1.0578887587428092,-0.1073587536811828,0.1594821512699127,-0.0551844984292984
walking,walking_10,1783626050512884700,0.817884765625,-0.1928092214882373,-0.6646294456243514,1.0047229857444762,-0.1256019473075866,0.1957791745662689,-0.0095752011984586
