activity,trial_id,time,t_seconds,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
walking,walking_12,1783626209798950700,0.06595068359375,0.0648260348495095,0.1521586466699838,-1.2979618357092142,0.1221080347895622,-0.8499362468719482,-0.4501796066761017
walking,walking_12,1783626209808912000,0.075911865234375,-0.0729887369085103,0.1448655670523643,-1.148123740941286,0.1165920943021774,-0.8198297023773193,-0.4200598001480102
walking,walking_12,1783626209818872600,0.08587255859375,-0.2302383500419557,0.1531575945794582,-0.9449334106922148,0.0846736058592796,-0.7827037572860718,-0.4113629162311554
walking,walking_12,1783626209828833500,0.09583349609375,-0.4161757129993289,0.1343155314654111,-0.820563519179821,0.0451110154390335,-0.7433717846870422,-0.4197238981723785
walking,walking_12,1783626209838794800,0.105794677734375,-0.6324529769018292,0.1166413430869579,-0.7115583700597286,-0.0013883090578019,-0.6992959380149841,-0.4437568187713623
walking,walking_12,1783626209848755700,0.115755615234375,-0.885003988777846,0.1506231076657772,-0.63837272233963,-0.0334935151040554,-0.6454196572303772,-0.4795827269554138
walking,walking_12,1783626209858716700,0.125716552734375,-1.1294155333399771,0.2668038475036621,-0.5723679260343313,-0.0477418452501297,-0.6063337326049805,-0.5163619518280029
walking,walking_12,1783626209868677600,0.135677734375,-1.3278029933519662,0.4362199184447526,-0.4886591307342052,-0.0460384897887706,-0.5816619396209717,-0.5550278425216675
walking,walking_12,1783626209878638800,0.145638916015625,-1.4689239670485257,0.659245999020338,-0.4249374769300222,-0.0269287284463644,-0.5668200254440308,-0.5903546214103699
walking,walking_12,1783626209888599600,0.155599609375,-1.575710271075368,0.9044500091344118,-0.355927069067955,0.0018264865502715,-0.5723077058792114,-0.6181809306144714
walking,walking_12,1783626209898560800,0.165560791015625,-1.630675202450156,1.130542491543293,-0.2150041021615266,0.0307550188153982,-0.5970324873924255,-0.6394046545028687
walking,walking_12,1783626209908521700,0.175521728515625,-1.6091355708152055,1.2911369581252337,-0.0278168122082948,0.0538893640041351,-0.6398590803146362,-0.6419069766998291
walking,walking_12,1783626209918482700,0.185482666015625,-1.537079073255509,1.408704183885455,0.1548427711874246,0.0696150213479995,-0.6845068335533142,-0.6264360547065735
walking,walking_12,1783626209928443600,0.195443603515625,-1.47568147848472,1.519817703461647,0.3533586798846721,0.073196180164814,-0.7334017157554626,-0.595241129398346
walking,walking_12,1783626209938404900,0.20540478515625,-1.4113878700114786,1.5431033019810914,0.5462608403533696,0.0570411086082458,-0.782128095626831,-0.5553033351898193
walking,walking_12,1783626209948365600,0.215365478515625,-1.3273185708358883,1.5622002166390418,0.7315799983471631,0.0219630170613527,-0.8548496961593628,-0.5095427632331848
walking,walking_12,1783626209958326800,0.225326904296875,-1.3997228589199482,1.354841076272726,0.8141279331743717,-0.0414861440658569,-0.8937547206878662,-0.4661576449871063
walking,walking_12,1783626209968286700,0.23528662109375,-1.3625101495958865,1.308269879233837,0.7598182508379221,-0.1349244862794876,-0.9018845558166504,-0.4107699990272522
walking,walking_12,1783626209978247700,0.24524755859375,-1.4068997648119923,1.231067981609702,0.6752367643564939,-0.2481753826141357,-0.9004146456718445,-0.3545761704444885
walking,walking_12,1783626209988209000,0.255208984375,-1.5131050540804862,1.0221423225790265,0.5801122565507888,-0.3574646115303039,-0.8973421454429626,-0.2923500537872314
walking,walking_12,1783626209998169600,0.265169677734375,-1.5796569628745316,0.7795902882784604,0.4091887036561966,-0.4641087651252746,-0.904480755329132,-0.2433604151010513
walking,walking_12,1783626210008130800,0.275130859375,-1.6891899352610111,0.4921995798200368,0.1563198580026626,-0.5439897179603577,-0.903073787689209,-0.1974800080060959
walking,walking_12,1783626210018091800,0.285091796875,-1.7922338378891347,0.2178442940235137,-0.2031850695520639,-0.593519926071167,-0.8921696543693542,-0.153394415974617
walking,walking_12,1783626210028052700,0.295052734375,-1.824641485019028,0.0415595063567161,-0.5201286202311516,-0.6051875352859497,-0.8813875913619995,-0.1233680844306945
walking,walking_12,1783626210038013700,0.305013671875,-1.8665559422932565,-0.0975549498230218,-0.7965724027395248,-0.5784986019134521,-0.8718363046646118,-0.1164766550064086
walking,walking_12,1783626210047974700,0.314974609375,-1.9306528591506185,-0.1539811859220266,-1.1055050809204578,-0.5083935260772705,-0.8490811586380005,-0.1332353949546814
walking,walking_12,1783626210057935600,0.324935546875,-2.0164463517703117,-0.1319569856405258,-1.3990239168703555,-0.3991637527942657,-0.8021156787872314,-0.1779016256332397
walking,walking_12,1783626210067896600,0.334896484375,-2.019309193855524,-0.0376677596151828,-1.5561007307201622,-0.2703154981136322,-0.7657310366630554,-0.235673040151596
walking,walking_12,1783626210077857800,0.34485791015625,-1.919936088694632,0.0690811350107192,-1.5486609361082315,-0.1327904015779495,-0.7458675503730774,-0.3068526983261108
walking,walking_12,1783626210087818500,0.354818603515625,-1.7815490700066088,0.1576397084295749,-1.3786457302302122,0.0005114644300192,-0.7367827296257019,-0.3804504871368408
walking,walking_12,1783626210097779700,0.36477978515625,-1.6098659309163688,0.2424550036668777,-1.035453055050969,0.1033298820257186,-0.7293577790260315,-0.4525948464870453
walking,walking_12,1783626210107740700,0.37474072265625,-1.4150256419919431,0.3182973033756017,-0.5810808093219996,0.1717901676893234,-0.7188257575035095,-0.5174103379249573
walking,walking_12,1783626210117702000,0.384701904296875,-1.2276043971523642,0.3362731050491332,-0.0857791718333959,0.2043333649635315,-0.6994673013687134,-0.5792110562324524
walking,walking_12,1783626210127662600,0.39466259765625,-1.0745505552083254,0.2420224574685096,0.3230857066959142,0.2080660462379455,-0.7084559798240662,-0.643337607383728
walking,walking_12,1783626210137623800,0.404623779296875,-0.9280775529593228,0.1040419737547636,0.7171282791465521,0.1859523802995681,-0.7264392375946045,-0.7033831477165222
walking,walking_12,1783626210147584800,0.414584716796875,-0.7413776811968534,0.0062315878659486,0.993902901044488,0.1497645527124405,-0.7274706959724426,-0.7554788589477539
walking,walking_12,1783626210157545700,0.424545654296875,-0.5835384681398048,-0.097549104604125,1.168625846222043,0.1018600836396217,-0.7226266264915466,-0.7949210405349731
walking,walking_12,1783626210167506700,0.434506591796875,-0.405335681489855,-0.22762392975986,1.3422247558057308,0.0385586135089397,-0.7372170090675354,-0.8230490684509277
walking,walking_12,1783626210177467600,0.444467529296875,-0.2202263303218409,-0.4416489577561616,1.431762987911701,-0.0403753146529197,-0.7476809620857239,-0.8262031078338623
walking,walking_12,1783626210187428600,0.4544287109375,-0.0494352812331169,-0.7161871989041566,1.3318161745160817,-0.115759290754795,-0.7198407649993896,-0.8139813542366028
walking,walking_12,1783626210197388500,0.464388427734375,-0.0114674426928162,-0.9092857587277888,1.1075830562382936,-0.1692080795764923,-0.6697286367416382,-0.7897247672080994
walking,walking_12,1783626210207349800,0.474349853515625,-0.0739919226016849,-1.015861050352454,0.9119663761138916,-0.1963896304368972,-0.616317093372345,-0.7598755359649658
walking,walking_12,1783626210217310700,0.484310791015625,-0.1126340071417391,-1.0860679745227098,0.769919373613596,-0.1966346949338913,-0.5735570192337036,-0.7255819439888
walking,walking_12,1783626210227271700,0.494271728515625,-0.1431720610074698,-1.1034487329125404,0.6586860270500182,-0.1684587150812149,-0.5137450695037842,-0.6940158009529114
walking,walking_12,1783626210237232600,0.504232666015625,-0.207114883281663,-1.0381336724370718,0.4723416176617145,-0.1166242510080337,-0.4427140057086944,-0.6726942658424377
walking,walking_12,1783626210247193900,0.51419384765625,-0.3058854559721425,-0.9378010745942592,0.3426303651213646,-0.0477242805063724,-0.4103933274745941,-0.6566159129142761
walking,walking_12,1783626210257154800,0.52415478515625,-0.3774235922135412,-0.8383914368152617,0.3020522710174322,0.0370049327611923,-0.3597272336483001,-0.6501659750938416
walking,walking_12,1783626210267115500,0.534115478515625,-0.4052930113919079,-0.5632371095955372,0.2631739665687084,0.1263276189565658,-0.3177835047245025,-0.6658554673194885
walking,walking_12,1783626210277076700,0.54407666015625,-0.464567841855064,-0.4035790470808744,0.3579419160217046,0.2072130292654037,-0.311108648777008,-0.6957299709320068
walking,walking_12,1783626210287037700,0.55403759765625,-0.3946587681202217,-0.2925292403906583,0.4768208089023828,0.2703261971473694,-0.3363476991653442,-0.7296445369720459
walking,walking_12,1783626210296998700,0.56399853515625,-0.3690935707636177,-0.2152805810153484,0.6071195059418678,0.3225715756416321,-0.3800263106822967,-0.7622990608215332
walking,walking_12,1783626210306959600,0.573959716796875,-0.3356797422658651,-0.2556651983737945,0.6621627632498741,0.3678908348083496,-0.4199625551700592,-0.7968639731407166
walking,walking_12,1783626210316920800,0.5839208984375,-0.3201847245573997,-0.3262403713345527,0.6476911703050137,0.4018581509590149,-0.4508133232593536,-0.8270114660263062
walking,walking_12,1783626210326881500,0.593881591796875,-0.3256213626533746,-0.3423100471258163,0.6591454612553119,0.4241924583911896,-0.4670687317848205,-0.8589558601379395
walking,walking_12,1783626210336842800,0.6038427734375,-0.3697513770852237,-0.3109323275655508,0.6844143425464629,0.442500352859497,-0.4593473970890045,-0.8904809355735779
walking,walking_12,1783626210346803700,0.6138037109375,-0.4387913033027201,-0.3659007660716772,0.7231786652266978,0.4544936120510101,-0.4601985216140747,-0.9194955825805664
walking,walking_12,1783626210356764700,0.6237646484375,-0.5065288782173767,-0.5295756630122661,0.6670014354526996,0.4503974318504333,-0.4149993658065796,-0.926069438457489
walking,walking_12,1783626210366725600,0.6337255859375,-0.3310928528670221,-0.1106353806704282,0.4984931270062923,0.4545341432094574,-0.3538867533206939,-0.9332770109176636
walking,walking_12,1783626210376686800,0.643686767578125,-0.4708864869499579,-0.2851870609343052,0.576214080068469,0.4576930105686188,-0.3730148077011108,-0.9368730783462524
walking,walking_12,1783626210386647800,0.653647705078125,-0.3188722537193447,-0.4586164591699838,0.7943120565921068,0.4500020742416382,-0.3721354305744171,-0.9343140721321106
walking,walking_12,1783626210396608500,0.6636083984375,-0.1572168981739319,-0.3442588431060314,1.204585048353672,0.3892530500888824,-0.4600165486335754,-0.922627091407776
walking,walking_12,1783626210406569700,0.67356982421875,0.0686461593932472,-0.4080383645772933,1.2734995946258303,0.3019652664661407,-0.5460542440414429,-0.8820791244506836
