activity,trial_id,time,t_seconds,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
walking,walking_05,1783625999276181500,0.060181396484375,0.1491962897330522,-0.0014449381113052,0.2446796939790248,-0.0672617778182029,-0.3475363254547119,-0.2092276513576507
walking,walking_05,1783625999286141700,0.0701416015625,0.1027267995029687,-0.0458744469463825,0.1447755506813526,-0.0606266111135482,-0.3310081958770752,-0.2391586303710937
walking,walking_05,1783625999296102400,0.080102294921875,-0.0343009135305881,-0.1115308682054281,0.0241068517744541,-0.046109989285469,-0.2953380942344665,-0.275183230638504
walking,walking_05,1783625999306063600,0.090063720703125,-0.1350451609142124,-0.1885340283870697,-0.0999532431364059,-0.0177608914673328,-0.2539376318454742,-0.3154382407665252
walking,walking_05,1783625999316024600,0.100024658203125,-0.2060395822003483,-0.2835860554784536,-0.240300455981493,0.0136103462427854,-0.2344336807727813,-0.3613167703151703
walking,walking_05,1783625999325985800,0.10998583984375,-0.2592836811318993,-0.382152812692523,-0.3093985421270132,0.0533190853893756,-0.2322652339935302,-0.4020258486270904
walking,walking_05,1783625999335945700,0.11994580078125,-0.2499791155613958,-0.4411848473757505,-0.3217249397367239,0.1037777289748191,-0.2449474781751632,-0.4310212731361389
walking,walking_05,1783625999345906400,0.129906494140625,-0.2118923998817801,-0.434850383657217,-0.3212614138782024,0.1606254279613495,-0.2697411775588989,-0.4516634345054626
walking,walking_05,1783625999355867600,0.13986767578125,-0.1411661280125379,-0.4546002092659473,-0.2807984705865383,0.214815154671669,-0.3131525814533233,-0.4582313299179077
walking,walking_05,1783625999365828600,0.14982861328125,-0.0245099526826292,-0.4478782075345516,-0.2056494138389825,0.263271689414978,-0.3494092226028442,-0.4485284090042114
walking,walking_05,1783625999375789600,0.15978955078125,0.144836706284061,-0.3835784615814686,-0.1405950501263141,0.2944605052471161,-0.380581259727478,-0.4373236894607544
walking,walking_05,1783625999385749500,0.16974951171875,0.2265471673738211,-0.3346002034008503,-0.013579028019309,0.3057792782783508,-0.3911934792995453,-0.4250456690788269
walking,walking_05,1783625999395710500,0.17971044921875,0.3172192988805473,-0.3269645939558744,0.0773959588915109,0.3011426925659179,-0.3895697593688965,-0.4031816720962524
walking,walking_05,1783625999405671700,0.189671630859375,0.4607221262123435,-0.2884738275200128,0.1705114649623632,0.2865875959396362,-0.3569112420082092,-0.3725033700466156
walking,walking_05,1783625999415632400,0.19963232421875,0.5926177370544523,-0.2764005278885364,0.2706330504029989,0.2610782384872436,-0.2903489768505096,-0.3277830481529236
walking,walking_05,1783625999425593600,0.209593505859375,0.8473833562400191,-0.2723381007552147,0.3046025400221347,0.2280170172452926,-0.21537546813488,-0.272463321685791
walking,walking_05,1783625999435553500,0.219553466796875,1.0373862881358713,-0.3518570431500673,0.1625245578616857,0.1806995719671249,-0.1717030853033065,-0.2251757085323333
